mint,disc_6h,disc_24h,surv_24h,disc_accel,regime_scans_24h,pre_bars,pre_res_s,r_5m,r_15m,r_30m,r_60m,range_30m,vol_accel,above_first
B6f27ETGcjgGNB1fqULJbXVmw9FnL8HgBp7R83hmpump,120,660,53,0.2222222222222222,11,,,,,,,,,
D2XvLipYuPFgJ42kB6U4ihmHENStT7h2BS2iN5NtzZKg,180,600,52,0.42857142857142855,10,34,3600,nan,nan,nan,0.0686639271204712,0.9207393918172038,0.6493761465140266,100.29469920192864
2Gt16sPz97kjvVXAz7aRbKG718hmY9HiyboieZKBpump,180,600,50,0.42857142857142855,10,5,3600,nan,nan,nan,-0.18604705862930615,0.552678143789401,0.6230762066523924,6.009432087688501
EYvkcWB5S4DFv7gJqR8D2W76U9n7kD3jvYcbSXdppump,180,600,50,0.42857142857142855,10,120,3600,nan,nan,nan,0.12553869084042413,0.2259685009291892,0.9583102329182038,9.44625438530929
6MPYewsYPK3L1ak68Gpc9ajuRjRRsGpnVd4mPTzWpump,240,600,49,0.6666666666666666,10,,,,,,,,,
89ZvFeuJqPUJAfDkdANWmwinMj5UahaaWT6QgheTpump,240,600,49,0.6666666666666666,10,,,,,,,,,
38ov9f633i3usgopDfDxUtTJU5VC6B7v7xncuevfpump,240,540,42,0.8,9,,,,,,,,,
D71ZjzGKk5duRFBmdzDMNmehyFuoN3xx1bCFiPQPpump,240,540,42,0.8,9,15,3600,nan,nan,nan,-0.14921626875401706,0.39512687228871873,0.4180304466009461,0.39333358263572826
Q27fWYBd963U9vzpWCexCGN7Rt2jSXjVhUxJKLopump,240,540,42,0.8,9,,,,,,,,,
3gDAjymqTF19GVw4TcB8sAKd3yLR2dfEzJ4Wztm2pump,120,600,48,0.25,10,37,3600,nan,nan,nan,-0.22184943449250538,0.4085701634383116,2.7340308881399364,7.061959388809788
CvXyWJRq3ZxqifMzAuyUomDvJ8PF8NitXx8HxRLGpump,120,600,48,0.25,10,120,3600,nan,nan,nan,-0.010244958844404461,0.027481783538477085,0.2789835584743742,-0.029301135350712326
2rovxjbNfyVuTdDTpH3EtsWEFJKCmYasuLud3MRHpump,120,600,48,0.25,10,,,,,,,,,
9WHXEcGp8FVRZhBinBj6pUr3FzpXhDNBkxXVhHk5pump,120,600,51,0.25,10,,,,,,,,,
