scan_ts,discovered,enriched,n_survivors,n_a
1784755373.0893402,47,37,3,0
1784759300.499911,56,51,3,0
1784763256.565644,58,48,2,0
1784768804.4508662,60,52,0,0
1784780931.2652154,56,50,2,0
1784790701.0908911,53,45,5,0
1784799674.4772997,53,50,6,0
1784806966.358551,57,51,5,0
1784812445.4761424,50,48,9,0
1784820482.0758317,50,42,9,0
1784826150.253608,57,49,11,0
1784830801.334271,53,44,9,0
1784836285.9251654,58,51,9,0
1784839636.0144005,59,49,13,0
1784843252.5908673,60,55,8,0
1784846468.222209,60,58,10,0
1784850233.0052736,59,53,9,0
1784855652.0997927,60,54,8,0
1784867949.0482693,60,56,6,1
1784877686.4651244,60,56,6,0
1784886027.2050028,60,52,5,0
1784892429.130677,60,55,4,0
1784898276.7200835,60,52,4,0
1784905432.8399353,60,50,3,0
1784911998.4166594,60,51,3,0
1784918378.280678,57,49,5,0
1784923505.5132582,60,53,5,0
1784927854.132868,56,46,7,0
1784932213.07713,55,45,6,0
1784936188.3333113,60,50,5,0
1784941615.2907119,59,56,7,0
1784953442.1164734,60,51,7,0
1784962696.440329,57,53,3,0
1784970465.7304938,58,50,4,0
1784976444.008385,60,53,4,0
1784980370.4448645,60,52,4,0
1784987756.394548,57,51,6,0
1784992434.8619654,53,43,7,0
1784996047.324746,60,54,8,0
1785000359.638457,60,51,9,0
1785004338.7487934,60,56,7,0
1785008919.671059,60,51,5,0
1785011772.55454,60,50,4,0
1785015099.4278219,60,51,3,0
1785018696.7871368,60,53,6,0
1785022538.003304,60,53,5,0
1785028284.5945134,60,54,6,0
1785041206.9684536,60,60,3,0
1785050796.853871,50,49,8,0
1785058618.1447637,49,44,6,0
1785064051.6818573,54,47,3,0
1785069191.0739963,60,53,6,0
1785075113.6163352,55,45,4,0
1785080007.263708,58,53,4,0
1785083517.4462554,60,50,4,0
1785087506.736912,56,53,3,0
1785091550.6544304,60,54,4,0
1785095933.6826704,58,54,4,0
1785100065.1832352,57,47,4,0
1785104145.674629,60,55,5,0
1785107741.276589,60,57,4,0
1785111390.5027554,60,50,4,0
1785125307.4833076,60,51,4,0
1785138996.0472405,60,57,6,1
1785152114.1391125,60,50,4,0
1785160587.8842032,60,51,4,0
1785169797.897055,60,55,5,0
1785175749.9987156,60,52,9,0
1785182358.2690072,60,54,8,0
1785187212.273319,60,51,8,0
1785191450.6842515,60,54,8,0
1785195565.785347,60,54,8,0
1785200956.394122,60,53,7,0
1785213066.5685635,58,49,6,0
1785223187.4003623,60,55,8,0
1785232808.1565654,60,51,7,0
1785240321.3540516,60,51,9,0
1785249032.5728674,58,48,8,0
1785255602.762323,56,46,6,0
1785260922.0311038,54,47,7,0
1785265150.2895539,60,51,11,1
1785270120.0118945,60,51,9,0
1785274526.8015196,60,55,5,0
1785278375.7255301,60,53,3,0
1785282265.8796716,60,51,5,0
1785287554.64681,59,54,5,0
1785299746.2644205,60,53,5,0
1785309955.4223576,60,53,5,0
1785320021.1369236,60,55,6,1
1785327882.0627294,60,52,9,1
1785336914.1914446,60,51,7,1
1785343011.205777,60,55,5,1
1785347560.438341,60,56,7,1
1785353885.4740102,60,54,5,1
1785357549.0857134,60,54,7,0
1785361286.1797812,60,50,3,0
1785364959.4975154,60,52,2,0
1785368766.9977794,60,55,2,0
1785373519.895378,60,56,4,0
1785384961.5869787,60,51,6,0
1785393917.6433818,60,52,4,0
1785403222.5954523,60,54,3,0
1785410719.2533278,60,52,3,0
1785417051.735796,60,53,3,0
1785425169.5877185,60,50,4,0
1785431155.0496213,60,51,2,0
