mint,scan_ts,sha,symbol,tier,dex,gmgn_ok,n_hc_misses,price_usd,liq_usd,mcap,fdv,vol_h1,vol_h6,vol_h24,buys_h1,sells_h1,price_chg_h1,pair_age_min,score,total_holders,top10_pct,insider_networks_pct,graph_insiders,creator_prior_tokens,rugcheck_score,gmgn_bundler_wallets,gmgn_sniper_wallets,gmgn_smart_wallets
6YZm2PVLBozyfvGrMTrZbZHxYQz8aFG3sm6rCfw3pump,1783359043.548683,cdc3f957d4887e8242010d16244daf4290e60243,Bullius,B,pumpswap,True,2,0.0001804,33701.27,180442.0,180442.0,186400.81,617081.98,617081.98,4650,874,7.4,142.12581138102215,91.9,1788,4.7,0.0,0,0,1.0,251,14,0
B6f27ETGcjgGNB1fqULJbXVmw9FnL8HgBp7R83hmpump,1783359043.548683,cdc3f957d4887e8242010d16244daf4290e60243,drooling,B,pumpswap,True,5,0.003199,229060.37,3198853.0,3198853.0,122213.24,286628.52,726246.55,333,461,40.82,55296.24247804769,24.9,5798,36.9,1.9,27,0,1.0,1000,23,79
CPtvQTf8bXKPx4wQTpVkB9StqcXnVdpz8WN2UZaopump,1783359043.548683,cdc3f957d4887e8242010d16244daf4290e60243,AIF,B,pumpswap,True,2,0.0002154,36806.27,215483.0,215483.0,352838.13,703507.17,703507.17,6171,3717,21.69,97.95914471435547,83.7,2189,3.5,0.0,0,0,1.0,288,1,0
FXWG1swRjTfGR2uCqa4TfJc6FrVqB1GQtME4e6yopump,1783359043.548683,cdc3f957d4887e8242010d16244daf4290e60243,ansemlet,B,pumpswap,True,5,0.0001716,32438.68,171685.0,171685.0,446672.16,446672.16,446672.16,7485,2941,134.0,42.2924780476888,67.9,392,4.3,0.0,0,0,1.0,144,10,0
D2XvLipYuPFgJ42kB6U4ihmHENStT7h2BS2iN5NtzZKg,1783365648.8071306,394e19b1fb5d847981bc481b70d927802da2527c,HOOD,B,pumpswap,True,3,0.0002681,45764.18,267889.0,267889.0,180276.84,1211047.49,1275437.64,1655,1629,-20.82,564156.5801188436,57.8,1466,23.6,0.0,0,0,1.0,323,0,5
2Gt16sPz97kjvVXAz7aRbKG718hmY9HiyboieZKBpump,1783371998.7240024,f5a3cc78f3b867f3aa5a791acee8927eb7de96c3,DEGEN,B,pumpswap,True,5,0.0002684,41134.25,268435.0,268435.0,122710.37,715827.79,715827.79,867,550,-33.13,209.17873337402344,53.3,333,29.9,0.0,0,0,1.0,195,50,4
EYvkcWB5S4DFv7gJqR8D2W76U9n7kD3jvYcbSXdppump,1783371998.7240024,f5a3cc78f3b867f3aa5a791acee8927eb7de96c3,HAALAND,B,pumpswap,True,3,0.0001542,32901.06,154218.0,154218.0,13004.95,166865.45,1077831.37,118,170,5.24,16583.89540004069,52.2,1326,38.1,0.0,0,0,1.0,386,9,17
6MPYewsYPK3L1ak68Gpc9ajuRjRRsGpnVd4mPTzWpump,1783377227.475578,848a1fd0af896ae4fe0bfacaf2cceaa76f7bba00,Ansem,B,pumpswap,True,5,0.0001246,28494.22,124695.0,124695.0,800195.61,1008082.58,1008082.58,2544,2358,-3.83,73.72459296875,55.1,155,15.2,0.0,0,0,1.0,97,16,0
89ZvFeuJqPUJAfDkdANWmwinMj5UahaaWT6QgheTpump,1783377227.475578,848a1fd0af896ae4fe0bfacaf2cceaa76f7bba00,KOVU,B,pumpswap,True,7,1.878e-05,10526.66,18782.0,18782.0,37815.58,94161.16,94161.16,649,518,-61.6,85.42459296875,51.7,118,28.0,0.0,0,0,1.0,104,24,1
38ov9f633i3usgopDfDxUtTJU5VC6B7v7xncuevfpump,1783381317.7284455,5754a5eb7cbfe42980bc2f92b22d0bdccfffc908,SPCXAI,B,pumpswap,True,4,0.0001055,25968.81,105556.0,105556.0,697397.89,697397.89,697397.89,7299,2770,60.94,37.97880742594401,66.6,148,6.4,0.0,0,0,1.0,65,2,0
D71ZjzGKk5duRFBmdzDMNmehyFuoN3xx1bCFiPQPpump,1783387663.4119222,329028abddd6b41f7a4da48297ffe3a5398b7242,$LEVICALF,B,pumpswap,True,6,4.828e-05,17127.22,48281.0,48281.0,21352.27,91054.24,257493.44,319,280,-28.73,842.9901987019857,55.4,535,33.7,3.1,7,1,1.0,46,20,0
Q27fWYBd963U9vzpWCexCGN7Rt2jSXjVhUxJKLopump,1783387663.4119222,329028abddd6b41f7a4da48297ffe3a5398b7242,shitcoin,B,pumpswap,True,6,4.324e-05,15895.99,43247.0,43247.0,8592.68,61449.28,61449.28,102,108,-40.24,174.973532035319,38.7,69,14.7,4.4,4,0,1.0,48,38,1
2rovxjbNfyVuTdDTpH3EtsWEFJKCmYasuLud3MRHpump,1783403326.6227763,21a73ccda1e57a081db798cf179049a363865fe3,TORO,B,pumpswap,True,5,0.000121,26538.16,121073.0,121073.0,21361.39,130557.17,130557.17,185,207,-14.05,267.27704627278644,29.8,188,29.2,2.1,9,0,1.0,5,12,2
3gDAjymqTF19GVw4TcB8sAKd3yLR2dfEzJ4Wztm2pump,1783403326.6227763,21a73ccda1e57a081db798cf179049a363865fe3,TCAR,B,pumpswap,True,6,0.0002245,37920.49,224533.0,224533.0,20581.46,115801.15,833434.1,168,118,-24.32,2172.8437129394533,58.0,746,34.5,9.7,10,1,1.0,335,20,14
CvXyWJRq3ZxqifMzAuyUomDvJ8PF8NitXx8HxRLGpump,1783403326.6227763,21a73ccda1e57a081db798cf179049a363865fe3,WYNN,B,pumpswap,True,3,0.0002783,48998.11,278250.0,278250.0,779.76,30701.85,70326.16,16,31,-1.45,76257.32704627278,31.2,119167,21.0,0.0,0,0,1.0,628,12,33
4eKYoR1hBHnRaYyg2d57H36uUatRNyZr1NRP9ScNpump,1783414634.417662,1e165b2cbb74eab0e240579cea9188e1903d4c4b,DONALT,B,pumpswap,True,1,0.0006924,71335.55,692421.0,692421.0,189516.57,909984.06,1585228.63,1231,789,112.0,1775.5402943644206,70.5,4956,5.1,0.0,0,0,1.0,208,26,2
9WHXEcGp8FVRZhBinBj6pUr3FzpXhDNBkxXVhHk5pump,1783414634.417662,1e165b2cbb74eab0e240579cea9188e1903d4c4b,BULLTARDIO,B,pumpswap,True,3,0.0001162,28697.61,116220.0,116220.0,28551.7,968238.88,1839652.35,313,290,-27.28,488.0736276977539,72.9,1108,19.7,2.6,16,0,1.0,569,21,8
AyafwyhUhZW4L9bdeG2nBjTpQkt5ek1aA1A78XGopump,1783414634.417662,1e165b2cbb74eab0e240579cea9188e1903d4c4b,PUMPBULL,B,pumpswap,True,4,0.0001811,33460.26,181190.0,181190.0,429179.82,579622.26,579622.26,8689,4166,60.57,69.47362769775391,65.6,156,3.9,0.0,0,0,1.0,55,2,3
4K5wiLjC5MmZv2pNmewQdZjds4yiBNTn8zUMi5cQpump,1783426041.404913,d5a0f25150cfb492fbd7dfeccfb41cae1fd6ac61,BULLTARDIO,B,pumpswap,True,4,0.0002233,37579.24,223357.0,223357.0,45762.32,760665.69,760665.69,452,341,34.99,171.62341521402996,59.4,129,9.0,0.0,0,1,1.0,199,11,5
DkmmVCUaBAcYjecqMdX7NdNQFCfb6uh1yQq9HEP8pump,1783426041.404913,d5a0f25150cfb492fbd7dfeccfb41cae1fd6ac61,ANSEMIUS,B,pumpswap,True,3,0.001846,114745.2,1846570.0,1846570.0,272192.18,891178.3,2672423.91,1242,1250,47.07,1509.9900818806966,53.5,4330,18.7,5.1,13,0,1.0,258,16,10
VXjDEv3EeJgg5J88uNasoMwaryCtdfKw5YNkAoJBpwU,1783426041.404913,d5a0f25150cfb492fbd7dfeccfb41cae1fd6ac61,PUMPLON,B,pumpswap,True,5,0.0002079,42965.41,207895.0,207895.0,67909.43,5079275.16,5079275.16,626,556,1.94,343.4900818806966,69.9,808,17.3,5.1,13,0,1.0,1000,57,25
saTZ9ADxuPYGxCgJMqnRsanza3nT3GnkpKENicKpump,1783426041.404913,d5a0f25150cfb492fbd7dfeccfb41cae1fd6ac61,roscoe,B,pumpswap,True,6,7.739e-05,21582.28,77370.0,77370.0,54481.33,271701.13,271701.13,655,596,-3.97,111.34008188069662,46.0,83,39.9,0.0,0,0,29.0,79,12,6
22oesKQuMBmxUTWfeFDjNnYS19VujFcBmi4EL8gWpump,1783437601.688591,10349831fedd1b2ae81eda26d94719bfd85986ba,GCAT,B,pumpswap,True,4,0.0006057,71648.52,605761.0,605761.0,1201182.31,3880349.65,3880349.65,2510,2481,128.0,243.47814318440754,53.5,145,17.7,0.0,0,0,1.0,207,36,3
95bAE5K5SeqpQ4veagLGRi5qfK83rtCeK9SxjBvNpump,1783437601.688591,10349831fedd1b2ae81eda26d94719bfd85986ba,inu,B,pumpswap,True,6,9.162e-05,23642.49,90239.0,90239.0,197111.57,334690.12,334690.12,2063,2151,122.0,104.47814318440756,49.6,35,27.8,0.0,0,0,1.0,292,30,2
BrXJz1NyZbeCALn4aWS7ckZqMyQBwENDGVmaRt4ypump,1783437601.688591,10349831fedd1b2ae81eda26d94719bfd85986ba,ELON,B,pumpswap,True,8,4.383e-05,15925.46,43838.0,43838.0,37822.31,37822.31,37822.31,623,527,23.71,12.64480985107422,21.1,2,28.0,7.6,4,0,50.0,200,55,0
DeqsPTYwvsNjkf5G8zDxziUnFPp55nQZA4vrNM2apump,1783437601.688591,10349831fedd1b2ae81eda26d94719bfd85986ba,QNT,B,pumpswap,True,3,0.0001493,29550.03,148161.0,148161.0,823.48,5042.7,35654.43,23,15,-0.18,48381.07814318441,30.7,3234,33.1,9.1,4,0,1.0,57,27,2
A26MrRACGRBERBrhdA6eVEkUR96YswsKGDtxjRp6pump,1783445373.5197594,0538e91ee04a62299ef6d841ce914afe053ed43f,Levilet,B,pumpswap,True,3,0.0001142,27191.44,114240.0,114240.0,372057.09,855870.28,855870.28,6927,3358,-44.36,113.34199599202474,64.7,131,5.9,0.0,0,0,1.0,232,13,0
DMGvqNkhS3BtNDRypN6tEY6jpkatHJj4WQZtPmFzpump,1783452203.2254553,17100b502dfc9d953141469e4c9e14b566c5e481,BULLTISM,B,pumpswap,True,4,6.824e-05,20153.88,68248.0,68248.0,25138.87,228692.64,228692.64,420,295,-15.51,164.05375758870443,58.5,206,13.6,0.0,0,0,1.0,27,37,2
5RyeWfbjVw6Ktj6j8SmTiAnVXWvmV8YxGtTebNsU2dBo,1783458562.4328148,53548eb469711000a2e14517e7105442cefd7f07,Pauly,B,raydium,True,3,0.0003687,72175.33,368656.0,368656.0,20765.49,107494.19,334940.55,135,89,-9.14,1187792.573880249,36.2,2947,36.1,0.0,0,0,1.0,1000,1,19
9kFcxV4s75ctSAjX6NLfcmPx1vuJom22RVrSGSitpump,1783458562.4328148,53548eb469711000a2e14517e7105442cefd7f07,CUPSETTA,B,pumpswap,True,6,2.019e-05,10939.04,20195.0,20195.0,49278.23,216761.41,216761.41,683,453,-30.21,152.4405469156901,53.8,19,27.4,0.0,0,0,1.0,92,13,4
